시리즈,선형번호,전저항_Rt/Δ×10³,레이놀즈수_Rn,프루드수_Fn,주형계수_Cp,중앙단면계수_Cm,방형계수_Cb,수선면계수_Cw,길이폭비_L/B,폭흘수비_B/T,길이흘수비_L/T,세장비_L/∇^(1/3),부심위치_LCB/L,부면심위치_LCF/L,LCB/LCF,침수면적비_S/∇^(2/3),수선면적비_Aw/∇^(2/3),S/Aw,S/Ax,Ax/Aw
Delft,Delft-7,11.75344577,34646062.33,0.350849048,0.560793444,0.646194779,0.362381796,0.68504782,3.154574163,4.953125151,15.62500063,5.142782266,-0.022899999,-0.033499998,0.683582103,6.302876566,5.743497313,1.097393491,18.17773917,0.060370186
Delft,Delft-7,24.28489741,39581256.82,0.400826106,0.560793444,0.646194779,0.362381796,0.68504782,3.154574163,4.953125151,15.62500063,5.142782266,-0.022899999,-0.033499998,0.683582103,6.302876566,5.743497313,1.097393491,18.17773917,0.060370186
Delft,Delft-7,46.66645903,44317049.51,0.44878389,0.560793444,0.646194779,0.362381796,0.68504782,3.154574163,4.953125151,15.62500063,5.142782266,-0.022899999,-0.033499998,0.683582103,6.302876566,5.743497313,1.097393491,18.17773917,0.060370186
Delft,Delft-7,77.63387112,49322034.63,0.499467695,0.560793444,0.646194779,0.362381796,0.68504782,3.154574163,4.953125151,15.62500063,5.142782266,-0.022899999,-0.033499998,0.683582103,6.302876566,5.743497313,1.097393491,18.17773917,0.060370186
Delft,Delft-7,107.0452715,54287139.39,0.549747644,0.560793444,0.646194779,0.362381796,0.68504782,3.154574163,4.953125151,15.62500063,5.142782266,-0.022899999,-0.033499998,0.683582103,6.302876566,5.743497313,1.097393491,18.17773917,0.060370186
Delft,Delft-7,121.8829548,59272184.33,0.600229522,0.560793444,0.646194779,0.362381796,0.68504782,3.154574163,4.953125151,15.62500063,5.142782266,-0.022899999,-0.033499998,0.683582103,6.302876566,5.743497313,1.097393491,18.17773917,0.060370186
Delft,Delft-7,130.4965912,64227319.0,0.650408508,0.560793444,0.646194779,0.362381796,0.68504782,3.154574163,4.953125151,15.62500063,5.142782266,-0.022899999,-0.033499998,0.683582103,6.302876566,5.743497313,1.097393491,18.17773917,0.060370186
Delft,Delft-10,0.333685048,9870388.981,0.099954117,0.564413502,0.646409597,0.364842305,0.694006291,3.154574163,3.992443385,12.59445875,4.775347934,0.0,-0.0191,0.0,5.849212399,5.01686836,1.165909085,15.76521169,0.073954547
Delft,Delft-10,1.056669318,14805583.47,0.149931176,0.564413502,0.646409597,0.364842305,0.694006291,3.154574163,3.992443385,12.59445875,4.775347934,0.0,-0.0191,0.0,5.849212399,5.01686836,1.165909085,15.76521169,0.073954547
Delft,Delft-10,1.990987452,19740777.96,0.199908234,0.564413502,0.646409597,0.364842305,0.694006291,3.154574163,3.992443385,12.59445875,4.775347934,0.0,-0.0191,0.0,5.849212399,5.01686836,1.165909085,15.76521169,0.073954547
Delft,Delft-10,3.559307176,24675972.45,0.249885293,0.564413502,0.646409597,0.364842305,0.694006291,3.154574163,3.992443385,12.59445875,4.775347934,0.0,-0.0191,0.0,5.849212399,5.01686836,1.165909085,15.76521169,0.073954547
Delft,Delft-10,6.551349771,29661017.39,0.30036717,0.564413502,0.646409597,0.364842305,0.694006291,3.154574163,3.992443385,12.59445875,4.775347934,0.0,-0.0191,0.0,5.849212399,5.01686836,1.165909085,15.76521169,0.073954547
Delft,Delft-10,11.36753729,34675972.6,0.351151939,0.564413502,0.646409597,0.364842305,0.694006291,3.154574163,3.992443385,12.59445875,4.775347934,0.0,-0.0191,0.0,5.849212399,5.01686836,1.165909085,15.76521169,0.073954547
Delft,Delft-10,27.08410304,39631107.27,0.401330925,0.564413502,0.646409597,0.364842305,0.694006291,3.154574163,3.992443385,12.59445875,4.775347934,0.0,-0.0191,0.0,5.849212399,5.01686836,1.165909085,15.76521169,0.073954547
Delft,Delft-10,52.68886904,44366899.96,0.449288708,0.564413502,0.646409597,0.364842305,0.694006291,3.154574163,3.992443385,12.59445875,4.775347934,0.0,-0.0191,0.0,5.849212399,5.01686836,1.165909085,15.76521169,0.073954547
Delft,Delft-10,90.09496289,49381855.17,0.500073477,0.564413502,0.646409597,0.364842305,0.694006291,3.154574163,3.992443385,12.59445875,4.775347934,0.0,-0.0191,0.0,5.849212399,5.01686836,1.165909085,15.76521169,0.073954547
Delft,Delft-10,122.1287275,54366900.11,0.550555354,0.564413502,0.646409597,0.364842305,0.694006291,3.154574163,3.992443385,12.59445875,4.775347934,0.0,-0.0191,0.0,5.849212399,5.01686836,1.165909085,15.76521169,0.073954547
Delft,Delft-10,136.8442381,59341974.96,0.600936268,0.564413502,0.646409597,0.364842305,0.694006291,3.154574163,3.992443385,12.59445875,4.775347934,0.0,-0.0191,0.0,5.849212399,5.01686836,1.165909085,15.76521169,0.073954547
Delft,Delft-10,145.2975926,64327019.9,0.651418145,0.564413502,0.646409597,0.364842305,0.694006291,3.154574163,3.992443385,12.59445875,4.775347934,0.0,-0.0191,0.0,5.849212399,5.01686836,1.165909085,15.76521169,0.073954547
Delft,Delft-11,0.366973556,9870388.981,0.099954117,0.564536539,0.646409597,0.364921836,0.681829176,3.154574163,3.992443385,12.59445875,4.775000993,-0.049800001,-0.049700001,1.002012088,5.567006386,4.928125638,1.129639704,15.00677053,0.075275337
Delft,Delft-11,1.056439025,14805583.47,0.149931176,0.564536539,0.646409597,0.364921836,0.681829176,3.154574163,3.992443385,12.59445875,4.775000993,-0.049800001,-0.049700001,1.002012088,5.567006386,4.928125638,1.129639704,15.00677053,0.075275337
Delft,Delft-11,2.079516818,19720837.78,0.199706307,0.564536539,0.646409597,0.364921836,0.681829176,3.154574163,3.992443385,12.59445875,4.775000993,-0.049800001,-0.049700001,1.002012088,5.567006386,4.928125638,1.129639704,15.00677053,0.075275337
Delft,Delft-11,3.569651865,24675972.45,0.249885293,0.564536539,0.646409597,0.364921836,0.681829176,3.154574163,3.992443385,12.59445875,4.775000993,-0.049800001,-0.049700001,1.002012088,5.567006386,4.928125638,1.129639704,15.00677053,0.075275337
